mechanism,a,b,delta,gamma,runs,epsilon,D,C,k,m,n_th,n_pr
Laplace,0,1,0.95,0.05,100,0.2,0.44,0.22,30,89,6e+08,5e+05
Laplace,0,1,0.95,0.1,100,0.5,1.27,0.64,57,170,4e+08,3e+05
Laplace,0,1,0.95,0.2,100,1.0,3.16,1.58,226,678,1e+09,5e+05
Laplace,0,1,0.95,0.3,100,1.25,4.38,2.19,Und.,Und.,Und.,7e+04
Laplace,0,1,0.95,0.5,100,2.0,9.25,4.63,Und.,Und.,Und.,3e+04
Gaussian,0,1,0.95,0.05,100,0.13,0.13,0.23,9,94,6e+08,5e+05
Gaussian,0,1,0.95,0.1,100,0.5,0.54,0.7,25,194,4e+08,5e+05
Gaussian,0,1,0.95,0.3,100,1.39,1.62,1.49,64,351,2e+08,1e+05
Gaussian,0,1,0.95,0.5,100,2.0,2.42,2.03,Und.,Und.,Und.,3e+04
Gaussian,0,1,0.95,1.4,100,5.56,7.06,5.4,Und.,Und.,Und.,7e+04
