mechanism,a,b,delta,gamma,runs,scale,epsilon,D,C,k,m,n_th,n_pr,renyi
Laplace,0,1,0.95,0.5,100,0.5,2.0,9.25,4.63,Und.,Und.,Und.,3e+04,False
Laplace,0,1,0.95,0.3,100,0.8,1.25,4.38,2.19,Und.,Und.,Und.,7e+04,False
Laplace,0,1,0.95,0.2,100,1.0,1.0,3.16,1.58,226,678,1e+09,5e+05,False
Laplace,0,1,0.95,0.1,100,2.0,0.5,1.27,0.64,57,170,4e+08,3e+05,False
Laplace,0,1,0.95,0.05,100,5.0,0.2,0.44,0.22,30,89,6e+08,5e+05,False
Gaussian,0,1,0.95,1.4,100,0.3,5.56,7.06,5.4,Und.,Und.,Und.,7e+04,False
Gaussian,0,1,0.95,0.5,100,0.5,2.0,2.42,2.03,Und.,Und.,Und.,3e+04,False
Gaussian,0,1,0.95,0.3,100,0.6,1.39,1.62,1.49,64,351,2e+08,1e+05,False
Gaussian,0,1,0.95,0.1,100,1.0,0.5,0.54,0.7,25,194,4e+08,3e+05,False
Gaussian,0,1,0.95,0.05,100,2.0,0.13,0.13,0.23,9,94,6e+08,5e+05,False
Laplace,0,1,0.95,0.04,100,1.5,0.143,1.83,0.913,14581,4850,8e+12,5e+05,True
Laplace,0,1,0.95,0.02,100,2.0,0.082,1.27,0.64,6148,2066,1e+12,3e+05,True
Laplace,0,1,0.95,0.01,100,3.0,0.037,0.78,0.4,2962,1013,5e+11,3e+05,True
Laplace,0,1,0.95,0.004,100,5.0,0.013,0.44,0.22,2158,720,6e+11,5e+05,True
Gaussian,0,1,0.95,0.04,100,1.5,0.016,0.23,0.38,203,224,5e+09,2e+04,True
